source,target,Correlation,norm_corr
GBDC,PSDN,0.0378577858927865,-0.35995165845765276
GBDC,SSSS,-0.20290022293967047,-0.7858074861205251
GBDC,TEK.AX,-0.6846357999331542,-1.6379075007787076
GBDC,VRNOF,-0.07475998107450409,-0.5591513967923162
PSDN,GBDC,0.0378577858927865,-0.35995165845765276
PSDN,SSSS,0.9324642739712914,1.2224396740706285
PSDN,TEK.AX,0.6420516160395275,0.7087540716391414
PSDN,VRNOF,0.9787357708371115,1.3042852861462229
SSSS,GBDC,-0.20290022293967047,-0.7858074861205251
SSSS,PSDN,0.9324642739712914,1.2224396740706285
SSSS,TEK.AX,0.1052201780938242,-0.2408002025071804
SSSS,VRNOF,0.8967331763216371,1.159238054167361
TEK.AX,GBDC,-0.6846357999331542,-1.6379075007787076
TEK.AX,PSDN,0.6420516160395275,0.7087540716391414
TEK.AX,SSSS,0.1052201780938242,-0.2408002025071804
TEK.AX,VRNOF,-0.21719871537366264,-0.8110988413669727
VRNOF,GBDC,-0.07475998107450409,-0.5591513967923162
VRNOF,PSDN,0.9787357708371115,1.3042852861462229
VRNOF,SSSS,0.8967331763216371,1.159238054167361
VRNOF,TEK.AX,-0.21719871537366264,-0.8110988413669727
