source,target,Correlation,norm_corr
FTLS,EWZ,0.8167089631881415,1.411
FTLS,FLSP,0.8699249402991982,1.531
FTLS,HIGH,0.923793254023696,1.653
FTLS,KMLM,-0.6004560440364762,-1.791
FTLS,MNA,0.15452636025730285,-0.085
FTLS,MSOS,-0.32223391783267313,-1.162
FTLS,NDP,0.47932419355172295,0.649
FTLS,QAI,0.9366516240991034,1.682
FTLS,QIS,0.4219570975564643,0.519
FTLS,RIET,-0.13015927771335248,-0.728
FTLS,RLY,0.09334468553572733,-0.223
FTLS,SPD,0.6695134113333701,1.078
FTLS,SPY,0.9603385680549361,1.735
FTLS,SSSS,-0.3339875389402246,-1.189
FTLS,URNM,0.8244603338566737,1.428
FTLS,WTMF,0.9090589209712187,1.62
HIGH,BTAL,-0.49604559039209933,-1.555
HIGH,CEE,0.6666350971330867,1.072
HIGH,CTA,0.2588472351337545,0.151
HIGH,DBMF,-0.3188978797419829,-1.155
HIGH,EQLS,0.6339113441921405,0.998
HIGH,EWZ,0.8479513559652434,1.482
HIGH,FLSP,0.9015292641466843,1.603
HIGH,FTLS,0.923793254023696,1.653
HIGH,KMLM,-0.28368630857445565,-1.075
HIGH,MNA,0.08175282149247466,-0.25
HIGH,MSOS,-0.11470146486281972,-0.693
HIGH,NDP,0.46327342057196436,0.612
HIGH,QAI,0.9271761795675445,1.661
HIGH,QIS,0.718766008249826,1.19
HIGH,RIET,0.051848186297710576,-0.317
HIGH,RLY,-0.13736376865707037,-0.745
HIGH,SPD,0.8800888777617246,1.554
HIGH,SPY,0.9132398466357128,1.629
HIGH,SSSS,0.08393249045560244,-0.245
HIGH,URNM,0.8400265414530883,1.464
HIGH,WTMF,0.9518000267484318,1.716
KMLM,BTAL,0.35405726676699073,0.366
KMLM,CEE,-0.4581227993587929,-1.469
KMLM,CTA,0.4765081078220289,0.642
KMLM,DBMF,0.8617055420831411,1.513
KMLM,EQLS,-0.1508285406908086,-0.775
KMLM,EWZ,-0.40879954747507435,-1.358
KMLM,FLSP,-0.2872972951697701,-1.083
KMLM,FTLS,-0.6004560440364762,-1.791
KMLM,HIGH,-0.28368630857445565,-1.075
KMLM,MNA,-0.21087425290355946,-0.911
KMLM,MSOS,0.2914461971536932,0.224
KMLM,NDP,0.08447942632422191,-0.243
KMLM,QAI,-0.7269230637888248,-2.077
KMLM,QIS,-0.031962613717421484,-0.507
KMLM,RIET,-0.0410745023285405,-0.527
KMLM,RLY,-0.26201854916584305,-1.026
KMLM,SPD,-0.3589232566133091,-1.245
KMLM,SPY,-0.6489943195804484,-1.901
KMLM,SSSS,0.23334247070926303,0.093
KMLM,URNM,-0.39864832551959956,-1.335
KMLM,WTMF,-0.376039529940061,-1.284
MNA,BTAL,-0.33786163754828025,-1.198
MNA,CEE,0.2164160664412377,0.055
MNA,CTA,-0.15655524720715056,-0.788
MNA,DBMF,-0.11458018627485395,-0.693
MNA,EQLS,0.28305802063226715,0.205
MNA,EWZ,0.2216441938081775,0.066
MNA,FLSP,0.004228276699155676,-0.425
MNA,FTLS,0.15452636025730285,-0.085
MNA,HIGH,0.08175282149247466,-0.25
MNA,KMLM,-0.21087425290355946,-0.911
MNA,MSOS,0.33869572183593655,0.331
MNA,NDP,0.1215571133284378,-0.16
MNA,QAI,0.25528927814658164,0.142
MNA,QIS,0.4047498098141648,0.48
MNA,RIET,0.41136500711463003,0.495
MNA,RLY,0.4049307630112297,0.481
MNA,SPD,0.3709663723845407,0.404
MNA,SPY,0.25206758712317395,0.135
MNA,SSSS,0.27508700141059866,0.187
MNA,URNM,0.30403165210809535,0.253
MNA,WTMF,0.057418460198620416,-0.305
MSOS,BTAL,-0.17317707878016683,-0.826
MSOS,CEE,0.3262883477642879,0.303
MSOS,CTA,-0.22016706584907023,-0.932
MSOS,DBMF,0.3477410335296875,0.351
MSOS,EQLS,0.5289472553956623,0.761
MSOS,EWZ,-0.10322224474420744,-0.668
MSOS,FLSP,-0.3315417580830087,-1.183
MSOS,FTLS,-0.32223391783267313,-1.162
MSOS,HIGH,-0.11470146486281972,-0.693
MSOS,KMLM,0.2914461971536932,0.224
MSOS,MNA,0.33869572183593655,0.331
MSOS,NDP,-0.268051495412922,-1.04
MSOS,QAI,-0.2107073586608973,-0.91
MSOS,QIS,0.608498676447206,0.941
MSOS,RIET,0.7769602402196352,1.321
MSOS,RLY,0.4221422835345411,0.519
MSOS,SPD,0.3847755545282152,0.435
MSOS,SPY,-0.17547512843993157,-0.831
MSOS,SSSS,0.887260598105331,1.57
MSOS,URNM,0.027197047735904763,-0.373
MSOS,WTMF,-0.15399939870137455,-0.782
NDP,BTAL,-0.11563883770033974,-0.696
NDP,CEE,-0.18123183824814446,-0.844
NDP,CTA,0.4251434049768594,0.526
NDP,DBMF,0.11264182409927519,-0.18
NDP,EQLS,0.19526501046129052,0.007
NDP,EWZ,0.526000526042748,0.754
NDP,FLSP,0.6154864804800853,0.956
NDP,FTLS,0.47932419355172295,0.649
NDP,HIGH,0.46327342057196436,0.612
NDP,KMLM,0.08447942632422191,-0.243
NDP,MNA,0.1215571133284378,-0.16
NDP,MSOS,-0.268051495412922,-1.04
NDP,QAI,0.3549182586762534,0.368
NDP,QIS,0.31499830515726374,0.277
NDP,RIET,-0.2778533491644311,-1.062
NDP,RLY,0.10446858285163203,-0.198
NDP,SPD,0.11656666954431821,-0.171
NDP,SPY,0.3932355249605189,0.454
NDP,SSSS,-0.4076911819198875,-1.355
NDP,URNM,0.4602122135627633,0.605
NDP,WTMF,0.3812927338296715,0.427
QAI,BTAL,-0.5441265336775685,-1.664
QAI,CEE,0.5550828370223985,0.82
QAI,CTA,-0.23608176535682338,-0.968
QAI,DBMF,-0.6933231654206456,-2.001
QAI,EQLS,0.3009321780525583,0.246
QAI,EWZ,0.8250453861883296,1.43
QAI,FLSP,0.7645327251221135,1.293
QAI,FTLS,0.9366516240991034,1.682
QAI,HIGH,0.9271761795675445,1.661
QAI,KMLM,-0.7269230637888248,-2.077
QAI,MNA,0.25528927814658164,0.142
QAI,MSOS,-0.2107073586608973,-0.91
QAI,NDP,0.3549182586762534,0.368
QAI,QIS,0.31009584840573906,0.266
QAI,RIET,0.04668251898823132,-0.329
QAI,RLY,0.31127572181174457,0.269
QAI,SPD,0.7412817657387822,1.241
QAI,SPY,0.9716649450933057,1.761
QAI,SSSS,-0.1730011221651648,-0.825
QAI,URNM,0.7904904277137614,1.352
QAI,WTMF,0.8536786607794593,1.494
QIS,BTAL,0.4775743589481302,0.645
QIS,CEE,0.06620343673324094,-0.285
QIS,CTA,0.5927704918059102,0.905
QIS,DBMF,0.33593014618491357,0.325
QIS,EQLS,0.6278887875719917,0.984
QIS,EWZ,0.013322453773759726,-0.404
QIS,FLSP,0.6474329414692205,1.028
QIS,FTLS,0.4219570975564643,0.519
QIS,HIGH,0.718766008249826,1.19
QIS,KMLM,-0.031962613717421484,-0.507
QIS,MNA,0.4047498098141648,0.48
QIS,MSOS,0.608498676447206,0.941
QIS,NDP,0.31499830515726374,0.277
QIS,QAI,0.31009584840573906,0.266
QIS,RIET,-0.2853299568602342,-1.079
QIS,RLY,-0.35862917962870605,-1.245
QIS,SPD,0.19103122696513586,-0.003
QIS,SPY,0.2377276836360919,0.103
QIS,SSSS,0.07236387900319927,-0.271
QIS,URNM,0.68421022214823,1.112
QIS,WTMF,0.4281357109119868,0.533
RIET,BTAL,-0.4918311981813304,-1.546
RIET,CEE,0.6106265327373421,0.945
RIET,CTA,-0.2942319005661523,-1.099
RIET,DBMF,0.12068588541541578,-0.162
RIET,EQLS,-0.36809714633274104,-1.266
RIET,EWZ,0.06400623994197381,-0.29
RIET,FLSP,-0.29304145352943517,-1.096
RIET,FTLS,-0.13015927771335248,-0.728
RIET,HIGH,0.051848186297710576,-0.317
RIET,KMLM,-0.0410745023285405,-0.527
RIET,MNA,0.41136500711463003,0.495
RIET,MSOS,0.7769602402196352,1.321
RIET,NDP,-0.2778533491644311,-1.062
RIET,QAI,0.04668251898823132,-0.329
RIET,QIS,-0.2853299568602342,-1.079
RIET,RLY,0.6373095934214777,1.006
RIET,SPD,0.5245172090147205,0.751
RIET,SPY,0.05557540012299492,-0.309
RIET,SSSS,0.836321345428605,1.455
RIET,URNM,0.09773928375869269,-0.213
RIET,WTMF,-0.04410374751170083,-0.534
RLY,BTAL,-0.330045907274183,-1.18
RLY,CEE,0.606210426298101,0.935
RLY,CTA,-0.5910803390277556,-1.77
RLY,DBMF,-0.23273251813225354,-0.96
RLY,EQLS,-0.5117037162875834,-1.59
RLY,EWZ,0.2568669872441278,0.146
RLY,FLSP,-0.0008338439150103856,-0.436
RLY,FTLS,0.09334468553572733,-0.223
RLY,HIGH,-0.13736376865707037,-0.745
RLY,KMLM,-0.26201854916584305,-1.026
RLY,MNA,0.4049307630112297,0.481
RLY,MSOS,0.4221422835345411,0.519
RLY,NDP,0.10446858285163203,-0.198
RLY,QAI,0.31127572181174457,0.269
RLY,QIS,-0.35862917962870605,-1.245
RLY,RIET,0.6373095934214777,1.006
RLY,SPD,0.406175987683115,0.483
RLY,SPY,0.2196471756759037,0.062
RLY,SSSS,0.5073281547777212,0.712
RLY,URNM,0.14411812954943767,-0.109
RLY,WTMF,0.0535628417488645,-0.313
SPD,BTAL,-0.6799124812079187,-1.971
SPD,CEE,0.6888473839931698,1.122
SPD,CTA,-0.2392896932612358,-0.975
SPD,DBMF,-0.3155027541659732,-1.147
SPD,EQLS,0.3121252259441834,0.271
SPD,EWZ,0.710503347718656,1.171
SPD,FLSP,0.5365222953619463,0.778
SPD,FTLS,0.6695134113333701,1.078
SPD,HIGH,0.8800888777617246,1.554
SPD,KMLM,-0.3589232566133091,-1.245
SPD,MNA,0.3709663723845407,0.404
SPD,MSOS,0.3847755545282152,0.435
SPD,NDP,0.11656666954431821,-0.171
SPD,QAI,0.7412817657387822,1.241
SPD,QIS,0.19103122696513586,-0.003
SPD,RIET,0.5245172090147205,0.751
SPD,RLY,0.406175987683115,0.483
SPD,SPY,0.795569766614981,1.363
SPD,SSSS,0.40488102082367483,0.48
SPD,URNM,0.6932987926121434,1.132
SPD,WTMF,0.7773495608014737,1.322
SPY,BTAL,-0.5919361464764861,-1.772
SPY,CEE,0.5005023815163633,0.697
SPY,CTA,-0.11581152271921961,-0.696
SPY,DBMF,-0.6001345597649503,-1.79
SPY,EQLS,0.3426730205209325,0.34
SPY,EWZ,0.8536715671639273,1.494
SPY,FLSP,0.7851365098670754,1.34
SPY,FTLS,0.9603385680549361,1.735
SPY,HIGH,0.9132398466357128,1.629
SPY,KMLM,-0.6489943195804484,-1.901
SPY,MNA,0.25206758712317395,0.135
SPY,MSOS,-0.17547512843993157,-0.831
SPY,NDP,0.3932355249605189,0.454
SPY,QAI,0.9716649450933057,1.761
SPY,QIS,0.2377276836360919,0.103
SPY,RIET,0.05557540012299492,-0.309
SPY,RLY,0.2196471756759037,0.062
SPY,SPD,0.795569766614981,1.363
SPY,SSSS,-0.17871722792552475,-0.838
SPY,URNM,0.805991278161937,1.387
SPY,WTMF,0.8986548631419266,1.596
SSSS,BTAL,-0.16700888937214342,-0.812
SSSS,CEE,0.47980999982321487,0.65
SSSS,CTA,-0.3419341315356005,-1.207
SSSS,DBMF,0.2495166208743391,0.129
SSSS,EQLS,0.17574237487521888,-0.037
SSSS,EWZ,-0.166638603460414,-0.811
SSSS,FLSP,-0.3485001783100589,-1.222
SSSS,FTLS,-0.3339875389402246,-1.189
SSSS,HIGH,0.08393249045560244,-0.245
SSSS,KMLM,0.23334247070926303,0.093
SSSS,MNA,0.27508700141059866,0.187
SSSS,MSOS,0.887260598105331,1.57
SSSS,NDP,-0.4076911819198875,-1.355
SSSS,QAI,-0.1730011221651648,-0.825
SSSS,QIS,0.07236387900319927,-0.271
SSSS,RIET,0.836321345428605,1.455
SSSS,RLY,0.5073281547777212,0.712
SSSS,SPD,0.40488102082367483,0.48
SSSS,SPY,-0.17871722792552475,-0.838
SSSS,URNM,-0.06968500052664861,-0.592
SSSS,WTMF,-0.12347687229114586,-0.713
URNM,BTAL,-0.3886181913699089,-1.312
URNM,CEE,0.3816751148848756,0.428
URNM,CTA,0.10101621925646656,-0.206
URNM,DBMF,-0.27011890385569653,-1.045
URNM,EQLS,0.5820743552819648,0.881
URNM,EWZ,0.7854297835815462,1.34
URNM,FLSP,0.7374713992538423,1.232
URNM,FTLS,0.8244603338566737,1.428
URNM,HIGH,0.8400265414530883,1.464
URNM,KMLM,-0.39864832551959956,-1.335
URNM,MNA,0.30403165210809535,0.253
URNM,MSOS,0.027197047735904763,-0.373
URNM,NDP,0.4602122135627633,0.605
URNM,QAI,0.7904904277137614,1.352
URNM,QIS,0.68421022214823,1.112
URNM,RIET,0.09773928375869269,-0.213
URNM,RLY,0.14411812954943767,-0.109
URNM,SPD,0.6932987926121434,1.132
URNM,SPY,0.805991278161937,1.387
URNM,SSSS,-0.06968500052664861,-0.592
URNM,WTMF,0.7771432958580385,1.322
WTMF,BTAL,-0.4391022251534889,-1.426
WTMF,CEE,0.4213947373385144,0.518
WTMF,CTA,0.01220142038490639,-0.407
WTMF,DBMF,-0.41387562193119126,-1.369
WTMF,EQLS,0.4487369919625753,0.58
WTMF,EWZ,0.8023858898743981,1.379
WTMF,FLSP,0.8468808015319639,1.479
WTMF,FTLS,0.9090589209712187,1.62
WTMF,HIGH,0.9518000267484318,1.716
WTMF,KMLM,-0.376039529940061,-1.284
WTMF,MNA,0.057418460198620416,-0.305
WTMF,MSOS,-0.15399939870137455,-0.782
WTMF,NDP,0.3812927338296715,0.427
WTMF,QAI,0.8536786607794593,1.494
WTMF,QIS,0.4281357109119868,0.533
WTMF,RIET,-0.04410374751170083,-0.534
WTMF,RLY,0.0535628417488645,-0.313
WTMF,SPD,0.7773495608014737,1.322
WTMF,SPY,0.8986548631419266,1.596
WTMF,SSSS,-0.12347687229114586,-0.713
WTMF,URNM,0.7771432958580385,1.322
