source,target,Correlation,norm_corr
BTAL,CEE,-0.4281313631863665,-1.402
BTAL,CTA,0.16085506101250333,-0.071
BTAL,DBMF,0.3312307335750672,0.314
BTAL,EQLS,0.5473051552131736,0.802
BTAL,EWZ,-0.6065938352508681,-1.805
BTAL,FLSP,-0.1829676699079663,-0.848
BTAL,FTLS,-0.40318035942515384,-1.345
BTAL,HIGH,-0.49604559039209933,-1.555
BTAL,KMLM,0.35405726676699073,0.366
BTAL,MNA,-0.33786163754828025,-1.198
BTAL,MSOS,-0.17317707878016683,-0.826
BTAL,NDP,-0.11563883770033974,-0.696
BTAL,QAI,-0.5441265336775685,-1.664
BTAL,QIS,0.4775743589481302,0.645
BTAL,RIET,-0.4918311981813304,-1.546
BTAL,RLY,-0.330045907274183,-1.18
BTAL,SPD,-0.6799124812079187,-1.971
BTAL,SPY,-0.5919361464764861,-1.772
BTAL,SSSS,-0.16700888937214342,-0.812
BTAL,URNM,-0.3886181913699089,-1.312
BTAL,WTMF,-0.4391022251534889,-1.426
CEE,BTAL,-0.4281313631863665,-1.402
CEE,CTA,-0.46303939899137425,-1.481
CEE,DBMF,-0.3483419697801076,-1.221
CEE,EQLS,0.17997701017174345,-0.028
CEE,EWZ,0.36433926783868603,0.389
CEE,FLSP,0.23284659265269278,0.092
CEE,FTLS,0.3750006276970737,0.413
CEE,HIGH,0.6666350971330867,1.072
CEE,KMLM,-0.4581227993587929,-1.469
CEE,MNA,0.2164160664412377,0.055
CEE,MSOS,0.3262883477642879,0.303
CEE,NDP,-0.18123183824814446,-0.844
CEE,QAI,0.5550828370223985,0.82
CEE,QIS,0.06620343673324094,-0.285
CEE,RIET,0.6106265327373421,0.945
CEE,RLY,0.606210426298101,0.935
CEE,SPD,0.6888473839931698,1.122
CEE,SPY,0.5005023815163633,0.697
CEE,SSSS,0.47980999982321487,0.65
CEE,URNM,0.3816751148848756,0.428
CEE,WTMF,0.4213947373385144,0.518
CTA,BTAL,0.16085506101250333,-0.071
CTA,CEE,-0.46303939899137425,-1.481
CTA,DBMF,0.6100154016783178,0.944
CTA,EQLS,0.46705068074429384,0.621
CTA,EWZ,-0.0529361549518657,-0.554
CTA,FLSP,0.1642313248560327,-0.063
CTA,FTLS,0.012442748682244213,-0.406
CTA,HIGH,0.2588472351337545,0.151
CTA,KMLM,0.4765081078220289,0.642
CTA,MNA,-0.15655524720715056,-0.788
CTA,MSOS,-0.22016706584907023,-0.932
CTA,NDP,0.4251434049768594,0.526
CTA,QAI,-0.23608176535682338,-0.968
CTA,QIS,0.5927704918059102,0.905
CTA,RIET,-0.2942319005661523,-1.099
CTA,RLY,-0.5910803390277556,-1.77
CTA,SPD,-0.2392896932612358,-0.975
CTA,SPY,-0.11581152271921961,-0.696
CTA,SSSS,-0.3419341315356005,-1.207
CTA,URNM,0.10101621925646656,-0.206
CTA,WTMF,0.01220142038490639,-0.407
DBMF,BTAL,0.3312307335750672,0.314
DBMF,CEE,-0.3483419697801076,-1.221
DBMF,CTA,0.6100154016783178,0.944
DBMF,EQLS,0.357203141659192,0.373
DBMF,EWZ,-0.403275018930617,-1.345
DBMF,FLSP,-0.28329649473001883,-1.074
DBMF,FTLS,-0.5400111529693548,-1.654
DBMF,HIGH,-0.3188978797419829,-1.155
DBMF,KMLM,0.8617055420831411,1.513
DBMF,MNA,-0.11458018627485395,-0.693
DBMF,MSOS,0.3477410335296875,0.351
DBMF,NDP,0.11264182409927519,-0.18
DBMF,QAI,-0.6933231654206456,-2.001
DBMF,QIS,0.33593014618491357,0.325
DBMF,RIET,0.12068588541541578,-0.162
DBMF,RLY,-0.23273251813225354,-0.96
DBMF,SPD,-0.3155027541659732,-1.147
DBMF,SPY,-0.6001345597649503,-1.79
DBMF,SSSS,0.2495166208743391,0.129
DBMF,URNM,-0.27011890385569653,-1.045
DBMF,WTMF,-0.41387562193119126,-1.369
EQLS,BTAL,0.5473051552131736,0.802
EQLS,CEE,0.17997701017174345,-0.028
EQLS,CTA,0.46705068074429384,0.621
EQLS,DBMF,0.357203141659192,0.373
EQLS,EWZ,0.014235891762245854,-0.402
EQLS,FLSP,0.6237437081864099,0.975
EQLS,FTLS,0.4959846354523598,0.686
EQLS,HIGH,0.6339113441921405,0.998
EQLS,KMLM,-0.1508285406908086,-0.775
EQLS,MNA,0.28305802063226715,0.205
EQLS,MSOS,0.5289472553956623,0.761
EQLS,NDP,0.19526501046129052,0.007
EQLS,QAI,0.3009321780525583,0.246
EQLS,QIS,0.6278887875719917,0.984
EQLS,RIET,-0.36809714633274104,-1.266
EQLS,RLY,-0.5117037162875834,-1.59
EQLS,SPD,0.3121252259441834,0.271
EQLS,SPY,0.3426730205209325,0.34
EQLS,SSSS,0.17574237487521888,-0.037
EQLS,URNM,0.5820743552819648,0.881
EQLS,WTMF,0.4487369919625753,0.58
EWZ,BTAL,-0.6065938352508681,-1.805
EWZ,CEE,0.36433926783868603,0.389
EWZ,CTA,-0.0529361549518657,-0.554
EWZ,DBMF,-0.403275018930617,-1.345
EWZ,EQLS,0.014235891762245854,-0.402
EWZ,FLSP,0.6982736091822175,1.143
EWZ,FTLS,0.8167089631881415,1.411
EWZ,HIGH,0.8479513559652434,1.482
EWZ,KMLM,-0.40879954747507435,-1.358
EWZ,MNA,0.2216441938081775,0.066
EWZ,MSOS,-0.10322224474420744,-0.668
EWZ,NDP,0.526000526042748,0.754
EWZ,QAI,0.8250453861883296,1.43
EWZ,QIS,0.013322453773759726,-0.404
EWZ,RIET,0.06400623994197381,-0.29
EWZ,RLY,0.2568669872441278,0.146
EWZ,SPD,0.710503347718656,1.171
EWZ,SPY,0.8536715671639273,1.494
EWZ,SSSS,-0.166638603460414,-0.811
EWZ,URNM,0.7854297835815462,1.34
EWZ,WTMF,0.8023858898743981,1.379
FLSP,BTAL,-0.1829676699079663,-0.848
FLSP,CEE,0.23284659265269278,0.092
FLSP,CTA,0.1642313248560327,-0.063
FLSP,DBMF,-0.28329649473001883,-1.074
FLSP,EQLS,0.6237437081864099,0.975
FLSP,EWZ,0.6982736091822175,1.143
FLSP,FTLS,0.8699249402991982,1.531
FLSP,HIGH,0.9015292641466843,1.603
FLSP,KMLM,-0.2872972951697701,-1.083
FLSP,MNA,0.004228276699155676,-0.425
FLSP,MSOS,-0.3315417580830087,-1.183
FLSP,NDP,0.6154864804800853,0.956
FLSP,QAI,0.7645327251221135,1.293
FLSP,QIS,0.6474329414692205,1.028
FLSP,RIET,-0.29304145352943517,-1.096
FLSP,RLY,-0.0008338439150103856,-0.436
FLSP,SPD,0.5365222953619463,0.778
FLSP,SPY,0.7851365098670754,1.34
FLSP,SSSS,-0.3485001783100589,-1.222
FLSP,URNM,0.7374713992538423,1.232
FLSP,WTMF,0.8468808015319639,1.479
FTLS,BTAL,-0.40318035942515384,-1.345
FTLS,CEE,0.3750006276970737,0.413
FTLS,CTA,0.012442748682244213,-0.406
FTLS,DBMF,-0.5400111529693548,-1.654
FTLS,EQLS,0.4959846354523598,0.686
